gameId,region,summonerName,tier,rank,wins,losses,win,lane,role,championId,spell1Id,spell2Id,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageDealtToObjectives,timeCCingOthers,totalDamageTaken,totalMinionsKilled,goldEarned,goldSpent,visionScore,team-firstBlood,team-firstTower,team-firstInhibitor,team-firstBaron,team-firstDragon,team-firstRiftHerald,team-towerKills,team-inhibitorKills,team-baronKills,team-dragonKills,team-vilemawKills,team-riftHeraldKills1048381008,la2,Dryxon,IRON,I,11,11,True,NONE,DUO,86,4,12,24,3,3,13,3,4,294,5,1,0,0,87749,23327,4327,1,5104,31,13186,108,13739,7500,0,True,True,True,False,False,True,8,1,0,0,0,11048381008,la2,Dryxon,IRON,I,11,11,True,NONE,DUO,86,4,12,24,3,3,13,3,4,294,5,1,0,0,87749,23327,4327,1,5104,31,13186,108,13739,7500,0,True,True,True,False,False,True,8,1,0,0,0,11048381008,la2,Dryxon,IRON,I,11,11,True,NONE,DUO,86,4,12,24,3,3,13,3,4,294,5,1,0,0,87749,23327,4327,1,5104,31,13186,108,13739,7500,0,True,True,True,False,False,True,8,1,0,0,0,11048381008,la2,Dryxon,IRON,I,11,11,True,NONE,DUO,86,4,12,24,3,3,13,3,4,294,5,1,0,0,87749,23327,4327,1,5104,31,13186,108,13739,7500,0,True,True,True,False,False,True,8,1,0,0,0,11048381008,la2,Dryxon,IRON,I,11,11,True,NONE,DUO,86,4,12,24,3,3,13,3,4,294,5,1,0,0,87749,23327,4327,1,5104,31,13186,108,13739,7500,0,True,True,True,False,False,True,8,1,0,0,0,1
1048514541,la2,Tomy919,IRON,I,148,162,False,NONE,DUO_SUPPORT,517,4,32,5,11,9,2,2,1,191,1,0,0,0,35285,14055,3027,1,0,13,21117,30,9468,8900,0,True,False,False,False,False,False,0,0,0,0,0,0
1019955949,la2,anoide,IRON,I,17,27,False,NONE,DUO,74,7,4,0,1,1,0,0,0,118,0,0,0,0,179,134,48,1,0,0,962,0,2818,800,0,False,False,False,False,False,False,0,0,0,0,0,0
1045443176,la2,gaboooks,IRON,I,5,6,False,JUNGLE,NONE,36,4,11,3,10,13,2,1,1,650,0,0,0,0,126612,16754,16967,1,3782,16,42586,37,9665,8325,9,True,False,False,False,False,False,0,0,0,1,0,0
1002936472,la2,zomboy373,IRON,I,42,51,True,BOTTOM,DUO_CARRY,498,7,4,3,15,10,0,1,0,317,0,0,0,0,117881,6689,5193,3,7191,4,34359,113,11715,11350,19,True,False,False,True,False,True,9,2,2,2,0,1
1048473007,la2,amonrra,IRON,I,7,10,False,TOP,DUO,161,4,14,7,7,5,4,2,2,951,1,0,0,0,119264,30971,764,1,5490,43,21919,128,10187,10200,23,False,False,False,False,False,False,1,0,0,1,0,0
1043382500,la2,FacuOn,IRON,I,8,13,True,BOTTOM,DUO,67,4,14,3,6,7,0,1,0,650,0,0,0,0,87798,7004,3350,1,11066,4,18226,97,9658,9200,13,False,False,True,True,True,False,10,1,1,3,0,1
1046849081,la2,MrFoxMrSniper,IRON,I,6,14,False,MIDDLE,SOLO,99,4,14,7,8,8,3,1,2,480,0,0,0,0,112995,21338,3136,1,2148,63,17406,116,10235,9850,13,True,True,False,False,False,True,1,0,0,1,0,1
1048373796,la2,kingPXNDX,IRON,I,26,40,True,BOTTOM,DUO_CARRY,21,4,7,5,0,2,5,2,1,0,1,0,0,0,65615,8338,2468,3,6759,3,8093,98,7231,6600,8,True,True,False,False,True,True,4,0,0,3,0,2
1033597604,la2,Alkya,IRON,I,6,4,True,BOTTOM,DUO_CARRY,360,3,4,7,16,11,3,1,2,527,0,0,0,0,173343,15827,5679,1,22112,4,41735,122,14434,12025,44,False,False,True,False,True,False,11,5,1,4,0,0
1045711989,la2,Fackin97,IRON,I,9,10,False,BOTTOM,DUO_CARRY,235,7,4,2,10,9,0,1,0,648,0,0,0,0,95442,7696,6077,5,3611,25,19841,155,9895,8525,17,True,False,False,False,True,True,2,0,0,2,0,1
