gameId,region,summonerName,tierRank,wins,losses,win,lane,role,championId,spell1Id,spell2Id,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageDealtToObjectives,timeCCingOthers,totalDamageTaken,totalMinionsKilled,goldEarned,goldSpent,visionScore,team-firstBlood,team-firstTower,team-firstInhibitor,team-firstBaron,team-firstDragon,team-firstRiftHerald,team-towerKills,team-inhibitorKills,team-baronKills,team-dragonKills,team-vilemawKills,team-riftHeraldKills
983915191,la2,  Exe marihuana,GOLD-IV,51,54,False,BOTTOM,DUO_CARRY,202,7,4,3,5,1,2,1,1,488,0,0,0,0,63134,6325,1589,3,1522,13,8771,140,7710,7625,10,True,False,False,False,True,True,0,0,0,1,0,1
1028260375,la2,Darpas,GOLD-IV,224,231,False,NONE,DUO,157,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,False,False,False,False,False,False,0,0,0,0,0,0
1002290710,la2,ramon57,GOLD-IV,1,10,False,JUNGLE,NONE,6,11,6,15,7,6,6,3,3,950,2,1,0,0,197713,29198,9041,1,12295,36,33109,122,15801,15050,16,True,False,False,True,False,False,4,0,1,1,0,0
1040394089,la2,El Mago0,GOLD-IV,27,25,True,TOP,SOLO,75,4,12,5,3,9,2,1,2,800,0,0,0,0,168478,14824,1952,1,20597,9,18918,159,12522,11200,17,True,True,True,True,True,True,9,1,1,2,0,1
1057248424,la2,Huaso Bruto ,GOLD-IV,91,100,False,BOTTOM,DUO_CARRY,29,7,4,9,4,5,4,2,2,557,1,0,0,0,177541,21590,8902,4,9909,9,20111,231,15197,15375,26,False,False,False,False,False,True,3,0,0,2,0,1
1057252019,la2,Gilgameshh,GOLD-IV,30,40,True,TOP,SOLO,10,4,12,9,8,7,3,1,3,682,0,0,0,0,81839,16597,3474,4,4835,12,23073,114,10434,10430,28,False,False,True,False,True,False,8,1,0,3,0,0
1057377665,la2,OrexArst,GOLD-IV,44,36,False,BOTTOM,DUO_CARRY,126,4,54,6,8,9,2,1,2,413,0,0,0,0,51640,21993,9583,9,0,12,24495,56,11801,11150,10,True,False,False,False,False,True,1,0,0,1,0,1
1057216294,la2,ShonyDIBellows,GOLD-IV,21,13,True,TOP,DUO,43,7,4,4,8,40,0,1,0,212,0,0,0,0,45515,10792,10743,5,780,11,26681,35,14185,12400,0,False,False,True,False,False,False,4,2,0,0,0,0
1056570890,la2,El Cobayito,GOLD-IV,99,102,False,JUNGLE,NONE,15,4,7,3,12,14,0,1,0,466,0,0,0,0,114160,23309,5487,4,9770,2,24233,117,10133,9775,25,True,True,False,False,True,False,6,0,0,2,0,0
1055022794,la2,BranM,GOLD-IV,42,36,False,MIDDLE,SOLO,112,4,12,11,9,8,2,2,4,526,1,0,0,0,186937,28107,826,1,10468,21,21904,174,15692,14225,15,True,True,False,False,False,True,5,0,0,1,0,2
1051549454,la2,MI BOT ES VEGANA,GOLD-IV,117,102,False,TOP,SOLO,67,12,4,0,5,0,0,0,0,322,0,0,0,0,51988,4392,401,1,443,5,8346,114,5943,4025,7,False,False,False,False,False,True,1,0,0,0,0,1
1057078662,la2,Snacker16,GOLD-IV,54,48,True,JUNGLE,NONE,11,11,4,21,8,9,8,5,5,312,2,2,2,1,202804,36349,11115,1,25595,8,29815,58,16794,14300,20,True,True,True,True,True,True,10,2,1,4,0,2
