gameId,region,summonerName,tier,rank,wins,losses,win,lane,role,championId,spell1Id,spell2Id,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageDealtToObjectives,timeCCingOthers,totalDamageTaken,totalMinionsKilled,goldEarned,goldSpent,visionScore,team-firstBlood,team-firstTower,team-firstInhibitor,team-firstBaron,team-firstDragon,team-firstRiftHerald,team-towerKills,team-inhibitorKills,team-baronKills,team-dragonKills,team-vilemawKills,team-riftHeraldKills
5280842923,kr,소의사,IRON,IV,205,221,True,JUNGLE,NONE,203,11,4,18,14,22,5,3,5,516,2,1,0,0,465461,48779,37608,17,86709,13,63842,169,27276,29475,22,True,True,True,True,False,True,10,4,2,5,0,1
5273969874,kr,silbu,IRON,IV,54,105,False,BOTTOM,DUO_SUPPORT,235,7,4,2,13,17,0,1,0,293,0,0,0,0,35989,14319,11037,5,1329,32,31873,14,9886,9675,42,False,True,True,False,True,True,4,3,0,4,0,1
5279377316,kr,골뱅이깡통,IRON,IV,23,34,False,MIDDLE,SOLO,777,4,14,0,4,0,0,0,0,209,0,0,0,0,25951,2843,982,1,294,11,6417,56,3910,2550,5,False,False,False,False,True,False,1,0,0,2,0,0
5275150809,kr,원딜을 위한 삶,IRON,IV,165,265,True,TOP,DUO_SUPPORT,9,3,4,0,7,15,0,0,0,606,0,0,0,0,12597,4245,873,2,3810,53,10776,6,6910,5400,55,True,True,True,True,False,True,7,1,1,2,0,1
5271148876,kr,KR덕구,IRON,IV,8,28,False,NONE,DUO_SUPPORT,245,14,4,1,4,1,0,1,0,228,0,0,0,0,21614,6253,382,1,0,4,7341,37,3630,2435,0,False,False,False,False,True,True,0,0,0,1,0,1
5253605156,kr,jyit07,IRON,IV,67,134,False,JUNGLE,NONE,106,11,4,0,10,2,0,0,0,457,0,0,0,0,80339,4324,6482,1,5897,9,29651,15,6650,6425,1,True,True,False,False,False,False,2,0,0,1,0,0
5250381302,kr,썽호썽호,IRON,IV,116,160,False,BOTTOM,DUO_SUPPORT,235,14,4,3,6,7,2,1,1,790,0,0,0,0,56319,14041,6797,5,1834,31,16546,33,9602,8300,19,True,False,False,False,False,False,1,0,0,1,0,0
5276338782,kr,협곡의 zzang깨,IRON,IV,91,125,False,JUNGLE,NONE,20,4,11,7,13,12,3,1,1,794,0,0,0,0,127069,20764,18432,1,13885,40,42321,35,12581,11735,12,True,False,False,False,False,False,4,0,0,1,0,0
5281153867,kr,뽀송하게,IRON,IV,17,27,False,MIDDLE,DUO_SUPPORT,121,32,4,14,15,13,3,2,3,101,3,0,0,0,30455,17894,5632,1,770,3,31056,12,15837,16250,0,True,False,True,False,False,False,2,1,0,0,0,0
5280382753,kr,QKRTKDGUS123,IRON,IV,1,9,True,NONE,DUO,110,7,4,4,3,3,2,1,2,608,0,0,0,0,35140,7114,1467,2,973,11,5572,75,5556,5465,6,False,True,False,False,False,False,1,0,0,0,0,0
5279540526,kr,이마군,IRON,IV,1,10,True,JUNGLE,NONE,141,11,4,8,3,2,3,2,3,588,2,0,0,0,114444,11292,8970,1,2140,5,17081,41,9250,7800,10,False,False,False,False,True,False,1,0,0,1,0,0
5280041955,kr,예에진,IRON,IV,179,197,False,JUNGLE,NONE,36,11,4,2,8,4,2,1,1,715,0,0,0,0,280459,7324,24724,1,9668,7,52391,42,15687,13900,19,False,True,True,True,False,False,5,1,2,2,0,0
5279805521,kr,Tariu,IRON,IV,87,134,False,MIDDLE,SOLO,777,3,4,1,23,8,0,1,0,338,0,0,0,0,77487,15359,2844,1,1206,18,49618,93,11587,11475,15,True,True,True,True,False,True,11,8,3,1,0,2
5274919435,kr,Reconomic,IRON,IV,163,181,False,TOP,SOLO,77,14,4,1,15,8,0,1,0,248,0,0,0,0,28582,13012,126,1,1145,19,19973,40,5201,5150,5,True,False,False,False,False,False,1,0,0,0,0,0
5279631734,kr,SAGE OF GAREN,IRON,IV,20,43,False,NONE,DUO_SUPPORT,98,14,4,6,7,4,3,1,1,635,0,0,0,0,18486,4104,0,0,2038,13,13616,13,6017,4700,1,False,False,False,False,False,True,0,0,0,0,0,1
5275559292,kr,일루와미췬색갸,IRON,IV,35,57,False,MIDDLE,SOLO,238,14,4,3,9,2,0,1,0,424,0,0,0,0,66207,7735,951,1,0,3,18828,107,8010,7750,4,False,False,False,False,False,True,1,0,0,1,0,1
5057708204,kr,믿음마트,IRON,IV,16,34,False,MIDDLE,SOLO,142,14,4,5,12,4,2,2,1,230,1,0,0,0,54726,13613,2667,1,771,29,18068,59,7681,5800,12,True,True,False,False,False,False,1,0,0,0,0,0
5274934754,kr,판테온 펜티도둑,IRON,IV,36,73,False,MIDDLE,SOLO,157,14,4,5,12,3,2,1,1,282,0,0,0,0,157369,24072,5213,1,2631,20,28386,161,11037,9800,8,False,False,False,True,False,False,4,0,1,1,0,0
5210774775,kr,일루와딱걸림,IRON,IV,62,105,True,TOP,SOLO,157,14,4,13,8,7,7,2,3,274,4,0,0,0,130541,26452,5092,1,4226,25,19734,144,13787,12450,9,True,True,True,False,False,False,7,1,0,1,0,0
5266926459,kr,dimage,IRON,IV,27,38,False,TOP,DUO_SUPPORT,20,12,6,0,5,0,0,0,0,81,0,0,0,0,153,0,0,0,31,0,3028,1,2758,450,1,False,False,False,False,False,False,0,0,0,0,0,0
5259272209,kr,하쿠마45,IRON,IV,50,75,False,BOTTOM,DUO,51,7,4,2,8,5,2,2,1,681,1,0,0,0,89746,7915,3595,2,3457,6,21367,113,8243,8050,10,False,True,False,False,False,False,1,0,0,0,0,0
5279849219,kr,있는데없는연두색,IRON,IV,10,42,False,NONE,DUO_SUPPORT,555,14,4,12,12,7,4,2,3,177,2,0,0,0,29000,16337,4623,1,766,33,26831,23,13234,12850,3,False,False,False,False,False,False,0,0,0,0,0,0
5277898930,kr,58미디언,IRON,IV,2,8,False,BOTTOM,DUO_CARRY,51,7,4,5,8,7,2,1,1,773,0,0,0,0,116031,16179,5615,2,7711,16,22760,154,10697,10340,12,True,False,False,False,False,True,4,0,0,1,0,1
5280290342,kr,슈프림짱검은용사,IRON,IV,21,72,True,BOTTOM,SOLO,64,7,4,12,7,15,9,1,1,317,0,0,0,0,119227,31499,20199,3,9109,22,38511,131,15196,15000,9,False,False,True,True,False,False,9,2,2,3,0,0
5280241327,kr,진정한악마띠모,IRON,IV,141,178,False,NONE,DUO_SUPPORT,64,12,4,1,5,0,0,1,0,277,0,0,0,0,14609,1643,0,0,0,2,6259,29,3134,1825,2,False,False,False,False,True,True,0,0,0,1,0,1
5280719394,kr,이용성사장,IRON,IV,115,151,True,MIDDLE,DUO_SUPPORT,2,4,6,2,11,19,0,1,0,190,0,0,0,0,63712,16972,12353,1,1204,10,44289,44,13514,12100,0,True,False,False,False,False,False,4,1,0,0,0,0
5236177950,kr,유리몸흥민이,IRON,IV,73,125,False,BOTTOM,DUO_SUPPORT,99,14,4,6,13,6,2,1,1,298,0,0,0,0,47047,10411,354,1,2035,50,20397,26,8852,7000,17,True,True,False,False,True,True,4,0,0,3,0,1
